[1]START_OBS [2]DOSIMETRY_B_OBS [3]DOSIMETRY_B_DATA [4]DOSIMETRY_E_OBS [5]DOSIMETRY_E_DATA 
03:24:27 01 11.00168 01 11.24145
03:41:45 02 10.79005 02 11.10803
03:58:49 05 10.30693 05 10.95248
04:15:52 07 10.76233 07 11.10565
04:32:55 08 10.72346 08 10.97739
04:50:01 10 10.40329 10 11.25652
05:07:01 13 10.16826 13 11.17515
10:44:09 14 5.38482 14 5.73327
05:30:31 16 10.36670 16 11.04982
05:47:29 18 10.03907 18 11.01069
06:04:33 20 10.31551 20 11.09513
06:21:39 22 11.03835 22 11.46683
06:38:45 24 11.32400 24 11.40695
06:55:51 26 10.29457 26 11.14802
07:12:49 29 10.36047 29 11.34220
07:29:54 30 10.21132 30 11.20299
07:47:00 32 10.47963 32 11.08892
08:04:06 34 11.03240 34 10.99142
08:21:12 36 10.20363 36 11.22036
08:38:18 39 10.33501 39 11.08654
08:55:15 41 10.30011 41 11.07887
09:12:20 42 10.29669 42 11.09323
09:29:26 44 10.74212 44 11.00623
15:07:21 46 7.24368 46 8.50341
09:54:58 49 9.98134 49 11.10652
10:12:02 50 10.77318 50 11.02193
10:29:08 52 10.40203 52 11.14011
10:46:11 54 10.59075 54 10.97558
11:03:15 56 11.06083 56 11.34993
11:20:21 58 10.55570 58 11.14236
11:37:27 60 10.90604 60 11.12163
11:54:33 62 10.33958 62 11.10771
12:11:39 64 10.52040 64 11.25851
12:28:34 66 10.67764 66 11.09012
12:45:39 68 10.18354 68 11.13167
13:02:34 71 10.46535 71 11.20060
13:19:37 73 10.77352 73 11.02845
13:36:40 75 10.90324 75 11.14756
13:53:43 76 10.99176 76 11.11138
14:10:46 79 10.13568 79 11.10391
14:27:47 80 10.07571 80 11.15230
14:44:52 83 10.10739 83 11.21499
15:01:55 84 10.56662 84 11.08550
15:19:00 86 10.76881 86 11.14145
15:36:03 88 10.65186 88 11.39537
15:53:01 91 11.06167 91 11.33336
16:10:03 92 10.17454 92 11.29103
16:27:08 94 10.82366 94 11.25545
16:44:08 97 10.80512 97 11.37822
17:01:08 98 10.97809 98 11.33036
17:18:12 100 10.83076 100 11.11159
17:35:17 102 10.75043 102 11.48115
17:52:21 104 10.87477 104 11.17892
18:09:25 106 10.90094 106 11.30656
18:26:30 108 10.86670 108 11.42667
18:43:36 110 11.17550 110 11.46028
19:00:42 112 11.03158 112 11.34510
00:39:43 114 5.96191 114 6.14402
19:28:37 116 10.62811 116 11.40639
19:45:42 118 10.94892 118 11.27194
20:02:48 120 10.50374 120 11.32266
20:19:54 122 10.73184 122 11.27942
20:36:34 124 10.55086 124 11.60953
20:53:39 126 10.97425 126 11.45080
21:10:45 128 10.47355 128 11.24274
21:27:51 130 10.96502 130 11.56410
21:44:57 132 10.45337 132 11.48238
22:02:03 135 11.33061 135 11.41877
22:19:00 136 10.41961 136 11.14065
03:58:31 138 8.11603 138 9.53399
22:47:20 140 10.65569 140 11.36637
23:04:25 142 10.46886 142 11.24142
23:21:30 144 10.37576 144 11.18222
23:38:34 146 10.34536 146 11.38430
23:55:39 148 10.90808 148 11.20686
00:12:44 151 9.89172 151 11.25214
00:29:36 153 10.45929 153 11.39213
00:46:40 154 10.46719 154 11.25979
01:03:42 157 10.78830 157 11.16343
01:20:47 159 10.42095 159 11.15748
01:37:52 161 10.52738 161 11.42025
01:54:56 162 10.73542 162 11.12769
02:24:34 164 11.03108 164 11.30859
02:41:40 166 10.63486 166 11.38578
02:58:40 169 10.99450 169 11.29666
03:03:05 170 11.41364 170 11.14049
03:32:53 172 11.20406 172 11.13789
03:49:59 175 10.40618 175 11.05715
04:07:04 176 10.25470 176 11.15423
