[1]START_OBS [2]DOSIMETRY_B_OBS [3]DOSIMETRY_B_DATA [4]DOSIMETRY_E_OBS [5]DOSIMETRY_E_DATA 
04:24:11 00 10.79981 00 11.31774
04:41:17 03 10.35662 03 11.11008
04:45:27 04 10.63623 04 10.98407
05:02:33 06 10.82276 06 11.12957
05:19:39 09 10.89965 09 11.12190
05:36:35 11 10.98642 11 11.07938
05:53:40 12 10.25402 12 11.03978
06:10:46 14 10.65426 14 11.13167
06:27:52 16 10.54310 16 11.18585
06:58:04 18 10.42056 18 11.32225
07:15:10 20 10.36979 20 11.05956
12:42:24 22 8.50559 22 9.01608
07:51:19 24 11.01332 24 11.19988
08:08:23 27 9.89281 27 11.15401
08:12:23 28 10.72052 28 11.35507
08:29:29 30 10.67599 30 11.10545
08:46:35 32 10.54318 32 11.18649
09:03:41 34 10.22281 34 11.29159
09:20:47 36 10.30734 36 11.03458
09:37:23 39 11.05777 39 11.04809
09:54:28 40 10.55230 40 11.18072
10:11:34 43 10.10857 43 11.17919
10:28:34 44 10.29772 44 11.07292
10:45:40 46 10.12677 46 11.07946
11:02:46 48 11.45476 48 11.08417
16:43:50 50 9.29436 50 9.53710
11:34:30 52 11.40486 52 11.08780
11:51:35 54 10.13273 54 11.07964
12:08:41 56 10.01760 56 11.22742
12:25:47 59 11.43744 59 11.32022
12:42:39 61 10.08689 61 11.36700
12:59:43 62 10.59132 62 11.28799
13:16:47 65 10.78799 65 11.26321
13:33:45 67 10.97934 67 11.26733
13:50:47 69 10.50290 69 11.20115
14:07:49 71 10.91910 71 11.61967
14:24:51 73 11.26890 73 11.61208
14:41:53 75 10.24437 75 11.64848
14:58:56 77 11.14676 77 11.85249
15:15:58 78 11.31479 78 11.94594
15:33:03 80 12.30138 80 12.20560
15:50:08 82 10.66570 82 11.91949
16:07:12 84 11.94693 84 12.39701
16:24:10 87 11.68713 87 12.61745
16:41:12 88 12.23993 88 12.66334
16:58:17 90 11.74427 90 13.05583
17:15:21 92 12.02182 92 13.44254
17:32:26 94 12.01563 94 13.92976
17:49:30 96 12.83591 96 14.06052
18:06:35 98 13.30183 98 14.46657
18:23:39 100 13.65902 100 14.88009
18:40:44 102 15.13255 102 15.29098
18:57:48 104 14.38784 104 15.58820
19:14:32 107 14.90574 107 15.97749
00:56:53 108 9.96819 108 10.83831
19:42:09 110 14.63764 110 16.58227
19:51:13 112 15.59584 112 16.96027
20:00:16 114 15.39114 114 17.70247
20:09:20 116 19.68058 116 19.43685
20:18:24 119 18.30146 119 20.63173
20:27:18 120 17.51544 120 19.65088
20:36:20 122 18.07840 122 20.22012
20:45:29 124 18.27645 124 20.53117
20:54:37 126 20.73943 126 20.84608
21:03:44 128 19.51671 128 20.98666
21:12:52 130 20.74048 130 21.07139
21:22:00 133 21.32769 133 22.08797
21:30:58 134 21.43603 134 22.73296
21:40:06 136 23.42101 136 23.74281
21:49:14 138 23.14517 138 23.92601
21:58:22 140 22.93596 140 23.65729
22:07:22 142 21.52535 142 23.52136
22:16:02 144 22.59448 144 23.59815
22:29:08 146 20.64817 146 22.56476
03:50:56 148 5.01519 148 6.46838
22:38:12 150 20.81256 150 22.70498
22:47:14 153 24.14302 153 23.35647
22:56:17 154 22.66519 154 22.70851
23:05:25 157 23.28851 157 22.68007
23:14:30 159 22.99320 159 24.16790
23:23:34 160 22.08749 160 23.93710
23:32:41 162 22.89918 162 23.54348
23:41:49 164 23.40996 164 24.18219
23:50:50 167 22.64429 167 24.41765
23:59:56 168 25.77649 168 23.95919
00:09:04 170 23.74290 170 24.17706
00:18:12 172 21.98481 172 23.95387
00:27:20 174 25.47796 174 24.07752
00:36:28 176 22.72979 176 24.45000
00:45:36 178 23.92268 178 24.51185
00:54:44 180 25.48005 180 24.56241
01:03:52 182 24.09810 182 24.56019
01:13:00 184 24.24060 184 24.06802
01:22:08 186 23.61155 186 24.09130
01:31:16 188 23.35909 188 23.80501
01:40:24 190 23.34754 190 23.24582
01:49:32 192 21.68709 192 23.28021
01:58:40 194 23.76536 194 23.54848
02:07:48 196 24.16741 196 23.19268
02:16:56 198 23.05297 198 23.09241
02:26:04 200 24.14589 200 23.46703
02:35:12 202 23.66828 202 23.40447
02:44:20 204 24.95821 204 24.36812
02:53:27 206 23.53050 206 23.74619
03:02:35 209 25.25899 209 24.05696
03:11:06 210 24.52823 210 24.16780
03:20:14 212 25.05773 212 24.34862
03:29:22 214 23.37700 214 23.88351
03:38:30 216 23.87598 216 23.95903
03:47:38 218 23.62140 218 24.12283
03:56:46 220 25.89194 220 24.02674
04:05:54 222 24.05776 222 24.30430
04:14:50 224 24.96448 224 23.26614
04:23:56 226 23.38338 226 23.17676
04:33:03 228 22.95191 228 23.92506
